day,program_block,start_time,end_time,show_title,hosts,producer,notes
Senin,Morning,06:00,10:00,Good Morning Jakarta,"INDY & IRWAN","AUDREY",""
Senin,Office,10:00,13:00,Office Hour,"RIO","RISAN/CAE",""
Senin,Afternoon,13:00,16:00,Coffee Break,"OT & RISAN","NAYLA/NITA",""
Senin,Drive,16:00,20:00,Drive Time,"RENO & DANY","LUVI & ELSA",""
Senin,Night,20:00,00:00,Shift Malam,"DENNY & EKO","JHOSUA & PUTRI",""

Selasa,Morning,06:00,10:00,Good Morning Jakarta,"INDY & IRWAN","ZAKIYA",""
Selasa,Office,10:00,13:00,Office Hour,"ODAH","INDIRA",""
Selasa,Afternoon,13:00,16:00,Coffee Break,"ABI & HATMA","OPET/SAKINAH",""
Selasa,Drive,16:00,20:00,Drive Time,"RENO & DANY","LUVI & ELSA",""
Selasa,Night,20:00,00:00,Shift Malam,"MAZDJO & EKO","JHOSUA & PUTRI",""

Rabu,Morning,06:00,10:00,Good Morning Jakarta,"INDY & IRWAN","ZAKIYA",""
Rabu,Office,10:00,13:00,Office Hour,"ODAH","INDIRA",""
Rabu,Afternoon,13:00,16:00,Coffee Break,"ABI & HATMA","NAYLA/CAE",""
Rabu,Drive,16:00,20:00,Drive Time,"RENO & DANY","LUVI & ELSA",""
Rabu,Night,20:00,00:00,Shift Malam,"MO & DENNY","JHOSUA & PUTRI",""

Kamis,Morning,06:00,10:00,Good Morning Jakarta,"INDY & IRWAN","AUDREY",""
Kamis,Office,10:00,13:00,Office Hour,"LUVI","RISAN/CAE",""
Kamis,Afternoon,13:00,16:00,Coffee Break,"ABI & HATMA","OPET/SAKINAH",""
Kamis,Drive,16:00,20:00,Drive Time,"RENO & DANY","LUVI & CACA",""
Kamis,Night,20:00,00:00,Shift Malam,"MAZDJO & EKO","JHOSUA & PUTRI",""

Jumat,Morning,06:00,10:00,Good Morning Jakarta,"INDY & IRWAN","ZAKIYA",""
Jumat,Office,10:00,13:00,Office Hour,"LUVI","RISAN/NITA",""
Jumat,Afternoon,13:00,16:00,Coffee Break,"OT & RISAN","PATRICIA",""
Jumat,Drive,16:00,20:00,Drive Time,"RENO & DANY","LUVI & SALSA",""
Jumat,Night,20:00,00:00,Shift Malam,"MOSIDIK","JHOSUA & PUTRI",""

Sabtu,Morning,06:00,10:00,Good Morning JKT Weekend,"OT & ODAH","ZAKIYA",""
Sabtu,Midday,10:00,12:00,Rute Akhir Pekan,"RIO","INDIRA",""
Sabtu,Afternoon,13:00,16:00,Song on the Week,"PUTRI & HATMA","PATRICIA",""
Sabtu,Evening,16:00,20:00,Drive Time,"RISAN & NAYLA","SAKINAH",""
Sabtu,Night-1,20:00,22:00,MALMING (TAPPING),"-","JHOSUA & PUTRI",""
Sabtu,Night-2,22:00,00:00,Shift Malam,"-","JHOSUA & PUTRI",""

Minggu,Morning,06:00,10:00,Good Morning JKT Weekend,"OT & ODAH","AUDREY",""
Minggu,Midday,10:00,12:00,Rute Akhir Pekan,"RIO","INDIRA",""
Minggu,Afternoon,13:00,16:00,Song on the Week,"PUTRI & ABI","NAYLA",""
Minggu,Evening,16:00,20:00,Drive Time,"RISAN & NAYLA","SAKINAH",""
Minggu,Night-1,20:00,22:00,Weekend Seru,"-","JHOSUA & PUTRI",""
Minggu,Night-2,22:00,00:00,Shift Malam,"MAZJO & EKO","JHOSUA & PUTRI",""
