Hari,Mulai,Selesai,Program,Penyiar,Produser,Catatan
Senin,06:00,10:00,Good Morning Jakarta,Indy & Irwan,AUDREY,
Senin,10:00,13:00,Office Hour,Rio,Risan/Cae,
Senin,13:00,16:00,Coffee Break,otesyech & Risan,Nayla/Nita,
Senin,16:00,20:00,Drive Time,Reno & Dany,Luvi & Elsa,
Senin,20:00,00:00,Shift Malam,Denny & Eko,Jhosua & Putri,
Selasa,06:00,10:00,Good Morning Jakarta,Indy & Irwan,ZAKIYA,
Selasa,10:00,13:00,Office Hour,Odah,Indira,
Selasa,13:00,16:00,Coffee Break,Abi & Hatma,patricia/Sakinah,
Selasa,16:00,20:00,Drive Time,Reno & Dany,Luvi & Elsa,
Selasa,20:00,00:00,Shift Malam,Mazdjo & Eko,Jhosua & Putri,
Rabu,06:00,10:00,Good Morning Jakarta,Indy & Irwan,ZAKIYA,
Rabu,10:00,13:00,Office Hour,Odah,Indira,
Rabu,13:00,16:00,Coffee Break,Abi & Hatma,Nayla/Cae,
Rabu,16:00,20:00,Drive Time,Reno & Dany,Luvi & Elsa,
Rabu,20:00,00:00,Shift Malam,Mosidik & Denny,Jhosua & Putri,
Kamis,06:00,10:00,Good Morning Jakarta,Indy & Irwan,AUDREY,
Kamis,10:00,13:00,Office Hour,Luvi,Risan/Cae,
Kamis,13:00,16:00,Coffee Break,Abi & Hatma,patricia/Sakinah,
Kamis,16:00,20:00,Drive Time,Reno & Dany,Luvi & Caca,
Kamis,20:00,00:00,Shift Malam,Mazdjo & Eko,Jhosua & Putri,
Jumat,06:00,10:00,Good Morning Jakarta,Indy & Irwan,ZAKIYA,
Jumat,10:00,13:00,Office Hour,Luvi,Risan/Nita,
Jumat,13:00,16:00,Coffee Break,otesyech& Risan,Patricia,
Jumat,16:00,20:00,Drive Time,Reno & Dany,Luvi & Salsa,
Jumat,20:00,00:00,Shift Malam,Mosidik,Jhosua & Putri,
Sabtu,06:00,10:00,Good Morning JKT Weekend,otesyech & Odah,Zakiya,
Sabtu,10:00,12:00,Rute Akhir Pekan,Rio,Indira,
Sabtu,12:00,13:00,Song of the Week,,,Segmen musik
Sabtu,13:00,16:00,Afternoon Show,Putri & Hatma,Patricia,
Sabtu,16:00,20:00,Drive Time Weekend,Risan & Nayla,Sakinah,
Sabtu,20:00,22:00,MALMING 
Sabtu,22:00,00:00,Shift Malam,Mazjo & Eko,Jhosua & Putri,
Minggu,06:00,10:00,Good Morning JKT Weekend,otesyech & Odah,Audrey,
Minggu,10:00,12:00,Rute Akhir Pekan,Rio,Indira,
Minggu,12:00,13:00,Song of the Week
Minggu,13:00,16:00,Afternoon Show,Putri & Abi,Nayla,
Minggu,16:00,20:00,Drive Time Weekend,Risan & Nayla,Sakinah,
Minggu,20:00,22:00,Weekend Seru
Minggu,22:00,00:00,Shift Malam,Mazdjo & Eko,Jhosua & Putri,
